Stock Index,Stock Price
AC3363,508.45142
AC3364,372.7124
AC3365,62.816223
AC3366,362.1294
AC3367,257.12424
AC3368,798.87506
AC3369,312.99072
AC3370,597.40515
AC3371,389.08307
AC3372,485.422
AC3373,257.93152
AC3374,343.47473
AC3375,1063.465
AC3376,461.7309
AC3377,204.41418
AC3378,380.1267
AC3379,648.8985
AC3380,139.83405
AC3381,408.3475
AC3382,600.4227
AC3383,152.67776
AC3384,236.93163
AC3385,245.76202
AC3386,131.39816
AC3387,267.00418
AC3388,1636.8159
AC3389,262.94193
AC3390,254.24579
AC3391,835.11835
AC3392,641.4099
AC3393,456.49414
AC3394,509.47726
AC3395,1461.3657
AC3396,62.412247
AC3397,626.115
AC3398,433.611
AC3399,61.514862
AC3400,170.2601
AC3401,129.6549
AC3402,488.60666
AC3403,273.6131
AC3404,61.984383
AC3405,126.19602
AC3406,296.48395
AC3407,156.83714
AC3408,707.31445
AC3409,1203.8914
AC3410,948.41473
AC3411,981.9508
AC3412,1510.2244
AC3413,174.39699
AC3414,315.94086
AC3415,218.99988
AC3416,585.1558
AC3417,881.5675
AC3418,150.70972
AC3419,1362.7184
AC3420,209.1644
AC3421,217.04515
AC3422,848.57214
AC3423,126.707214
AC3424,1145.8905
AC3425,234.88449
AC3426,62.896687
AC3427,364.3762
AC3428,781.11456
AC3429,758.5773
AC3430,335.31818
AC3431,492.25937
AC3432,505.0379
AC3433,200.53314
AC3434,887.7207
AC3435,1105.1174
AC3436,457.02142
AC3437,136.70857
AC3438,1500.1006
AC3439,179.21982
AC3440,1232.8779
AC3441,438.72498
AC3442,63.192455
AC3443,637.88135
AC3444,164.58446
AC3445,126.78938
AC3446,777.5189
AC3447,921.0558
AC3448,154.05423
AC3449,1082.2567
AC3450,219.42096
AC3451,1068.3195
AC3452,723.952
AC3453,659.6347
AC3454,61.48196
AC3455,741.99927
AC3456,182.43729
AC3457,614.2457
AC3458,721.4724
AC3459,1755.0537
AC3460,517.4326
AC3461,599.1089
AC3462,495.6081
AC3463,1258.4412
AC3464,265.47833
AC3465,632.4386
AC3466,175.3812
AC3467,157.59868
AC3468,1387.6565
AC3469,279.38556
AC3470,356.0423
AC3471,715.557
AC3472,237.39581
AC3473,428.99194
AC3474,454.14456
AC3475,86.64017
AC3476,547.869
AC3477,835.94507
AC3478,134.6592
AC3479,214.92041
AC3480,142.24518
AC3481,1122.7117
AC3482,397.66028
AC3483,1030.1301
AC3484,943.2717
AC3485,816.28845
AC3486,92.31511
AC3487,228.03491
AC3488,1734.3231
AC3489,839.4858
AC3490,1563.758
AC3491,242.2391
AC3492,987.8967
AC3493,62.51487
AC3494,1026.658
AC3495,130.21632
AC3496,1315.2892
AC3497,443.04254
AC3498,62.19244
AC3499,382.9913
AC3500,127.907776
AC3501,254.12158
AC3502,231.59451
AC3503,302.7962
AC3504,1114.0228
AC3505,1129.8702
AC3506,477.78613
AC3507,863.7737
AC3508,917.786
AC3509,374.06378
AC3510,1211.1547
AC3511,1025.9111
AC3512,1017.7769
AC3513,553.8512
AC3514,146.22327
AC3515,942.42
AC3516,574.1297
AC3517,514.9029
AC3518,571.5087
AC3519,1003.7468
AC3520,1769.8566
AC3521,763.8174
AC3522,1206.6147
AC3523,1019.52625
AC3524,1155.5969
AC3525,799.3085
AC3526,459.82922
AC3527,133.63593
AC3528,67.75911
AC3529,998.94434
AC3530,508.2542
AC3531,620.3402
AC3532,821.1257
AC3533,547.7597
AC3534,813.0734
AC3535,914.6818
AC3536,246.81775
AC3537,166.18369
AC3538,823.9192
AC3539,1230.4563
AC3540,383.16187
AC3541,523.0624
AC3542,321.7433
AC3543,1048.357
AC3544,459.47928
AC3545,593.53784
AC3546,596.3436
AC3547,628.3927
AC3548,89.756424
AC3549,1656.3484
AC3550,807.0438
AC3551,648.41986
AC3552,324.58337
AC3553,900.4693
AC3554,273.14062
AC3555,193.3702
AC3556,1019.86725
AC3557,657.97656
AC3558,1284.4144
AC3559,545.54095
AC3560,177.11935
AC3561,182.67365
AC3562,778.5283
AC3563,1083.448
AC3564,1496.8901
AC3565,753.4165
AC3566,296.43738
AC3567,213.14249
AC3568,175.7909
AC3569,335.1462
AC3570,807.50507
AC3571,631.37244
AC3572,467.50076
AC3573,1265.6036
AC3574,684.4398
AC3575,179.25847
AC3576,564.3553
AC3577,1677.0085
AC3578,125.79286
AC3579,1463.6676
AC3580,128.89697
AC3581,63.057224
AC3582,235.24185
AC3583,697.5173
AC3584,148.62654
AC3585,130.60178
AC3586,405.33893
AC3587,62.389633
AC3588,247.72673
AC3589,148.61847
AC3590,308.25848
AC3591,353.8399
AC3592,294.42676
AC3593,62.605213
AC3594,131.13144
AC3595,383.5558
AC3596,820.8423
AC3597,114.378716
AC3598,226.61386
AC3599,1185.4515
AC3600,1268.7441
AC3601,962.6542
AC3602,788.7063
AC3603,1651.6544
AC3604,303.3217
AC3605,792.38934
AC3606,1194.0936
AC3607,63.021915
AC3608,1050.5471
AC3609,525.4513
AC3610,207.22571
AC3611,808.33813
AC3612,121.47536
AC3613,1216.7827
AC3614,500.02197
AC3615,465.15738
AC3616,295.3742
AC3617,1285.5658
AC3618,129.63016
AC3619,257.11084
AC3620,236.37689
AC3621,838.18066
AC3622,267.65088
AC3623,321.5224
AC3624,717.4758
AC3625,246.13304
AC3626,129.602
AC3627,684.1279
AC3628,62.676697
AC3629,62.951546
AC3630,603.2009
AC3631,63.638374
AC3632,174.73941
AC3633,290.65002
AC3634,1413.4768
AC3635,310.96606
AC3636,1184.8037
AC3637,361.55487
AC3638,996.27936
AC3639,193.58102
AC3640,918.4441
AC3641,568.30676
AC3642,131.13055
AC3643,635.9098
AC3644,745.73364
AC3645,1126.6561
AC3646,677.02563
AC3647,399.11755
AC3648,230.24771
AC3649,413.49805
AC3650,707.4434
AC3651,1331.0958
AC3652,367.75284
AC3653,614.36475
AC3654,1242.0205
AC3655,390.02982
AC3656,370.295
AC3657,964.7518
AC3658,919.52405
AC3659,550.4435
AC3660,130.85172
AC3661,140.06361
AC3662,313.12796
AC3663,781.892
AC3664,433.51083
AC3665,850.88367
AC3666,382.0553
AC3667,641.8362
AC3668,1275.1187
AC3669,1161.5569
AC3670,425.46652
AC3671,124.36119
AC3672,355.45248
AC3673,867.6655
AC3674,910.0795
AC3675,627.24396
AC3676,1346.7009
AC3677,1098.809
AC3678,1233.6012
AC3679,441.7026
AC3680,676.3345
AC3681,587.9885
AC3682,260.4799
AC3683,548.32544
AC3684,474.6618
AC3685,193.7117
AC3686,258.78918
AC3687,822.6825
AC3688,230.55472
AC3689,811.14124
AC3690,668.33844
AC3691,510.87457
AC3692,220.57472
AC3693,144.62186
AC3694,230.08441
AC3695,189.68301
AC3696,142.50333
AC3697,351.3323
AC3698,177.40448
AC3699,128.60489
AC3700,1157.3528
AC3701,223.02362
AC3702,450.00525
AC3703,184.66629
AC3704,271.30597
AC3705,667.80383
AC3706,688.03375
AC3707,1507.5369
AC3708,1202.1919
AC3709,507.69565
AC3710,160.1143
AC3711,1071.2385
AC3712,340.13382
AC3713,963.0416
AC3714,1469.379
AC3715,1341.7002
AC3716,209.98346
AC3717,843.6946
AC3718,1359.8081
AC3719,1066.0774
AC3720,129.6695
AC3721,288.42395
AC3722,1528.8275
AC3723,598.93805
AC3724,122.939644
AC3725,934.75366
AC3726,123.338806
AC3727,592.5531
AC3728,286.19934
AC3729,358.55396
AC3730,586.1876
AC3731,954.72205
AC3732,557.55865
AC3733,184.22794
AC3734,493.58075
AC3735,352.53467
AC3736,718.55994
AC3737,507.54572
AC3738,345.15298
AC3739,62.644577
AC3740,366.59485
AC3741,769.49817
AC3742,682.0935
AC3743,832.1371
AC3744,62.365158
AC3745,91.06189
AC3746,352.69638
AC3747,410.60938
AC3748,119.60539
AC3749,516.89954
AC3750,1440.8303
AC3751,63.65775
AC3752,96.063965
AC3753,386.7682
AC3754,681.7335
AC3755,62.276512
AC3756,329.01144
AC3757,596.19324
AC3758,594.12714
AC3759,544.338
AC3760,233.5735
AC3761,468.0511
AC3762,529.454
AC3763,896.1179
AC3764,463.42084
AC3765,297.3132
AC3766,477.36838
AC3767,81.28764
AC3768,1055.3486
AC3769,1081.5999
AC3770,130.17807
AC3771,701.989
AC3772,452.80246
AC3773,126.73261
AC3774,264.8838
AC3775,62.990005
AC3776,299.78125
AC3777,120.19036
AC3778,899.6039
AC3779,1721.0083
AC3780,122.14955
AC3781,665.10156
AC3782,137.6921
AC3783,635.8154
AC3784,271.14343
AC3785,400.29895
AC3786,409.86316
AC3787,251.1023
AC3788,743.1178
AC3789,1456.2428
AC3790,861.1419
AC3791,174.3566
AC3792,872.4052
AC3793,294.99167
AC3794,855.90283
AC3795,497.98306
AC3796,343.424
AC3797,130.7107
AC3798,636.28516
AC3799,1058.1953
AC3800,62.23007
AC3801,126.02782
AC3802,242.57974
AC3803,62.459305
AC3804,63.634697
AC3805,63.34527
AC3806,791.01306
AC3807,176.45525
AC3808,1439.7314
AC3809,227.40501
AC3810,531.71124
AC3811,324.89023
AC3812,584.5509
AC3813,1053.5476
AC3814,795.55005
AC3815,182.60193
AC3816,827.6697
AC3817,321.27283
AC3818,1627.5583
AC3819,61.09445
AC3820,177.10947
AC3821,253.87167
AC3822,236.73596
AC3823,434.55722
AC3824,440.20297
AC3825,388.25092
AC3826,371.2046
AC3827,595.29443
AD1,137.4783
AD2,391.84106
AD3,61.314377
AD4,644.27466
AD5,124.30621
AD6,180.17184
AD7,379.65338
AD8,723.4031
AD9,663.94885
AD10,340.8426
AD11,142.48976
AD12,166.75159
AD13,799.8753
AD14,702.2268
AD15,1003.48926
AD16,634.3129
AD17,785.034
AD18,554.15393
AD19,1525.4852
AD20,234.49399
AD21,827.0612
AD22,1309.3297
AD23,1622.9246
AD24,318.7402
AD25,766.5217
AD26,569.6037
AD27,344.9109
AD28,229.91367
AD29,787.6626
AD30,1123.3525
AD31,296.92603
AD32,390.4924
AD33,508.09445
AD34,244.99028
AD35,670.03076
AD36,196.67413
AD37,63.56115
AD38,1596.6891
AD39,815.74115
AD40,498.53857
AD41,62.34767
AD42,173.89836
AD43,137.66136
AD44,826.3391
AD45,1704.7552
AD46,524.42505
AD47,233.19278
AD48,179.99489
AD49,255.70312
AD50,573.4868
AD51,62.611794
AD52,63.08937
AD53,506.17767
AD54,140.66992
AD55,612.4727
AD56,1120.9895
AD57,845.01666
AD58,1182.0557
AD59,645.6441
AD60,640.70435
AD61,833.27563
AD62,1649.7518
AD63,720.1889
AD64,984.09674
AD65,150.6005
AD66,394.44638
AD67,141.68845
AD68,1095.7556
AD69,223.66478
AD70,63.752842
AD71,466.52332
AD72,691.85547
AD73,362.4776
AD74,234.73201
AD75,786.7219
AD76,1412.7012
AD77,276.70804
AD78,404.74063
AD79,1534.0261
AD80,784.131
AD81,1201.2424
AD82,592.8644
AD83,125.252045
AD84,491.30035
AD85,993.20435
AD86,538.1091
AD87,533.4876
AD88,661.38
AD89,64.629906
AD90,832.6222
AD91,1365.2922
AD92,213.17728
AD93,580.13184
AD94,533.9048
AD95,176.14517
AD96,698.4591
AD97,366.04782
AD98,1069.0676
AD99,63.594837
AD100,818.1711
AD101,223.00232
AD102,130.12244
AD103,174.40198
AD104,252.52243
AD105,996.3063
AD106,879.77905
AD107,1279.1572
AD108,1168.9194
AD109,141.03642
AD110,637.9061
AD111,511.63583
AD112,1178.4424
AD113,337.47128
AD114,272.34662
AD115,323.10135
AD116,664.7604
AD117,829.5829
AD118,128.54013
AD119,342.61
AD120,61.50599
AD121,126.08817
AD122,626.41223
AD123,63.1141
AD124,579.16187
AD125,627.4252
AD126,420.61877
AD127,1261.8231
AD128,452.652
AD129,704.3832
AD130,272.6338
AD131,833.022
AD132,517.3347
AD133,734.40796
AD134,378.8218
AD135,1570.167
AD136,817.5522
AD137,455.44687
AD138,842.7468
AD139,1497.2982
AD140,416.71506
AD141,62.925743
AD142,818.69214
AD143,132.89554
AD144,162.08963
AD145,220.13141
AD146,1164.1956
AD147,928.4816
AD148,831.1057
AD149,1107.5042
AD150,751.2413
AD151,272.7353
AD152,1107.1599
AD153,430.43082
AD154,398.25415
AD155,521.6273
AD156,171.50299
AD157,1341.7748
AD158,378.67657
AD159,775.40546
AD160,1214.6509
AD161,698.89966
AD162,223.63956
AD163,539.92944
AD164,878.7819
AD165,601.5662
AD166,439.15033
AD167,456.48978
AD168,457.08896
AD169,851.4845
AD170,124.88446
AD171,729.7272
AD172,244.29066
AD173,628.48035
AD174,662.5084
AD175,332.3686
AD176,308.95825
AD177,422.84448
AD178,1214.678
AD179,877.6853
AD180,63.03469
AD181,1278.1931
AD182,263.1541
AD183,62.77084
AD184,1319.5172
AD185,462.95032
AD186,1273.844
AD187,540.1489
AD188,62.93876
AD189,1119.5127
AD190,381.01105
AD191,124.78684
AD192,614.56946
AD193,62.722008
AD194,309.8426
AD195,598.9522
AD196,833.46387
AD197,1195.9801
AD198,209.84587
AD199,98.01085
AD200,634.4238
AD201,1189.2245
AD202,123.09163
AD203,546.3696
AD204,1103.2349
AD205,163.9161
AD206,276.2599
AD207,846.7357
AD208,720.8772
AD209,630.17017
AD210,1833.5007
AD211,381.23965
AD212,1115.0513
AD213,1346.6746
AD214,390.499
AD215,624.6958
AD216,63.19519
AD217,1479.9893
AD218,850.9462
AD219,361.2561
AD220,405.2025
AD221,455.9963
AD222,1293.6616
AD223,61.86892
AD224,846.594
AD225,454.95312
AD226,1692.3424
AD227,543.8662
AD228,281.11322
AD229,434.47308
AD230,402.62048
AD231,483.5046
AD232,872.07294
AD233,592.73126
AD234,537.58594
AD235,329.44427
AD236,350.95255
AD237,422.33545
AD238,713.6622
AD239,836.11884
AD240,1573.8708
AD241,666.2311
AD242,127.22012
AD243,903.97546
AD244,650.03076
AD245,308.23807
AD246,647.43066
AD247,1390.2941
AD248,727.7771
AD249,266.17303
AD250,827.5244
AD251,652.3758
AD252,1366.4336
AD253,146.75562
AD254,62.4569
AD255,660.6216
AD256,133.77194
AD257,1676.375
AD258,574.19495
AD259,250.98009
AD260,701.3775
AD261,167.49039
AD262,63.106483
AD263,660.9015
AD264,325.17725
AD265,720.09155
AD266,289.77353
AD267,180.57346
AD268,1031.6442
AD269,799.14124
AD270,1536.9403
AD271,195.04352
AD272,523.05634
AD273,75.441246
AD274,247.00504
AD275,872.8498
AD276,206.83331
AD277,62.987587
AD278,788.6338
AD279,274.00238
AD280,800.7871
AD281,419.98593
AD282,1351.3538
AD283,136.88359
AD284,62.243122
AD285,238.98676
AD286,62.59928
AD287,564.5001
AD288,278.88364
AD289,127.076416
AD290,1737.2031
AD291,178.12494
AD292,809.9164
AD293,751.4238
AD294,811.5272
AD295,237.11023
AD296,535.8329
AD297,62.570976
AD298,776.57465
AD299,891.37695
AD300,316.6649
AD301,175.65198
AD302,378.13184
AD303,550.49493
AD304,971.6797
AD305,612.6089
AD306,416.5287
AD307,220.5217
AD308,388.50055
AD309,200.07805
AD310,601.4675
AD311,733.8441
AD312,1882.527
AD313,1374.4344
AD314,145.99722
AD315,731.48645
AD316,551.67957
AD317,1209.7124
AD318,526.67365
AD319,343.0908
AD320,469.9587
AD321,1160.6434
AD322,363.3194
AD323,63.159733
AD324,695.9361
AD325,1259.3145
AD326,484.99908
AD327,1252.8325
AD328,361.20825
AD329,1141.8752
AD330,827.86676
AD331,451.65448
AD332,492.01785
AD333,400.0952
AD334,398.39938
AD335,254.78995
AD336,94.63151
AD337,525.1432
AD338,265.55737
AD339,1178.2415
AD340,512.8503
AD341,437.57315
AD342,365.12457
AD343,120.14612
AD344,1385.6875
AD345,154.0834
AD346,524.10333
AD347,986.31934
AD348,175.4924
AD349,884.1278
AD350,710.15674
AD351,630.2528
AD352,505.51105
AD353,376.83844
AD354,365.96143
AD355,1573.302
AD356,429.85303
AD357,62.198856
AD358,503.75543
AD359,151.23236
AD360,806.7936
AD361,179.87607
AD362,173.8959
AD363,913.6669
AD364,691.4023
AD365,205.64212
AD366,182.70418
AD367,277.17896
AD368,160.13791
AD369,432.3201
AD370,582.88574
AD371,62.502285
AD372,1444.3473
AD373,1395.6091
AD374,239.6977
AD375,795.01556
AD376,684.97864
AD377,1804.804
AD378,245.68764
AD379,1222.9789
AD380,72.74384
AD381,219.39363
AD382,272.82495
AD383,231.50272
AD384,177.99248
AD385,205.39984
AD386,764.26294
AD387,298.2428
AD388,897.29364
AD389,720.4517
AD390,614.10815
AD391,777.4231
AD392,913.66473
AD393,1345.32
AD394,152.83353
AD395,344.89972
AD396,175.038
AD397,956.0208
AD398,407.05087
AD399,1285.0642
AD400,224.80508
AD401,844.8552
AD402,213.5083
AD403,747.33795
AD404,1306.9335
AD405,319.46378
AD406,268.92877
AD407,493.69318
AD408,337.4007
AD409,62.47896
AD410,260.5354
AD411,1002.2311
AD412,233.97357
AD413,62.420887
AD414,374.79544
AD415,643.3091
AD416,234.34004
AD417,510.00595
AD418,325.24548
AD419,488.3224
AD420,154.26614
AD421,662.2547
AD422,62.75196
AD423,894.5677
AD424,368.47775
AD425,567.0622
AD426,303.2252
AD427,267.5697
AD428,1163.7867
AD429,278.63672
AD430,292.3904
AD431,525.1387
AD432,365.7629
AD433,1411.3928
AD434,438.86353
AD435,626.5541
AD436,61.937042
AD437,248.07057
AD438,519.3004
AD439,62.202953
AD440,62.45126
AD441,460.67084
AD442,353.68555
AD443,480.14612
AD444,288.95264
AD445,975.95435
AD446,269.43372
AD447,1160.5863
AD448,184.65002
AD449,803.01416
AD450,902.6394
AD451,1128.7178
AD452,650.0061
AD453,372.28925
AD454,508.38052
AD455,732.131
AD456,232.514
AD457,196.33833
AD458,62.664597
AD459,179.77664
AD460,1613.8024
AD461,1415.3029
AD462,590.5109
AD463,1536.2573
AD464,577.6161
AD465,62.965073
AD466,1306.8354
AD467,1082.5033
AD468,185.37903
AD469,336.4463
AD470,1484.0931
AD471,428.06793
AD472,567.88007
AD473,207.15991
AD474,676.24835
AD475,933.04535
AD476,1714.9789
AD477,894.6338
AD478,211.78493
AD479,492.23163
AD480,172.17654
AD481,563.8104
AD482,290.90665
AD483,565.67346
AD484,1342.2751
AD485,1397.2927
AD486,126.11813
AD487,342.05017
AD488,636.0169
AD489,966.7439
AD490,813.2616
AD491,129.35985
AD492,62.817028
AD493,772.8657
AD494,588.2384
AD495,523.02954
AD496,1210.0767
AD497,593.89636
AD498,570.4065
AD499,594.9843
AD500,587.3657
AD501,594.2561
AD502,596.0055
AD503,596.1498
AD504,589.4699
AD505,593.6886
AD506,1176.8975
AD507,203.53546
AD508,662.8783
AD509,693.58044
AD510,131.32143
AD511,67.3856
AD512,502.8081
AD513,305.05597
AD514,124.66155
AD515,144.03638
AD516,362.91632
AD517,334.82526
AD518,882.95886
AD519,1011.1322
AD520,787.03687
AD521,1892.3152
AD522,678.82684
AD523,229.76334
AD524,794.0144
AD525,161.92668
AD526,318.75903
AD527,296.09528
AD528,62.245075
AD529,185.7834
AD530,1262.3872
AD531,115.974785
AD532,176.44116
AD533,837.39075
AD534,683.8036
AD535,1174.2305
AD536,120.69912
AD537,138.5199
AD538,1071.223
AD539,572.6096
AD540,134.49466
AD541,567.93896
AD542,603.2556
AD543,372.7599
AD544,176.02304
AD545,1576.362
AD546,63.50272
AD547,388.97156
AD548,295.4623
AD549,975.0432
AD550,348.95294
AD551,766.2223
AD552,374.82483
AD553,131.10484
AD554,608.9633
AD555,340.81546
AD556,361.10614
AD557,390.6819
AD558,463.01593
AD559,1228.8301
AD560,283.73267
AD561,155.15784
AD562,1275.6614
AD563,321.3674
AD564,241.42166
AD565,426.3382
AD566,696.0444
AD567,1202.8748
AD568,458.0516
AD569,195.80293
AD570,940.91846
AD571,1128.5425
AD572,785.44495
AD573,637.6455
AD574,1104.2646
AD575,851.1697
AD576,62.816536
AD577,495.24023
AD578,1189.7462
AD579,823.5824
AD580,281.25568
AD581,180.63638
AD582,176.78166
AD583,1558.7046
AD584,715.17426
AD585,137.93732
AD586,347.08923
AD587,707.7595
AD588,191.61905
AD589,247.4839
AD590,689.61487
AD591,722.7911
AD592,269.4592
AD593,900.2113
AD594,341.20813
AD595,976.39685
AD596,1054.334
AD597,1707.2238
AD598,1321.6785
AD599,445.48138
AD600,288.9063
AD601,169.84491
AD602,658.6604
AD603,239.76071
AD604,121.95923
AD605,618.3338
AD606,948.43787
AD607,153.35593
AD608,453.568
AD609,683.66583
AD610,62.919712
AD611,559.13525
AD612,863.04553
AD613,820.3209
AD614,664.678
AD615,261.84348
AD616,596.3085
AD617,575.7771
AD618,127.09163
AD619,382.6543
AD620,859.04736
AD621,760.78735
AD622,62.55782
AD623,972.87317
AD624,946.026
AD625,459.6419
AD626,418.60062
AD627,746.57404
AD628,280.59467
AD629,626.7772
AD630,422.26474
AD631,522.8952
AD632,165.7029
AD633,126.73381
AD634,62.74557
AD635,181.56598
AD636,387.53265
AD637,217.83592
AD638,482.89874
AD639,468.69592
AD640,195.03903
AD641,714.6041
AD642,610.5252
AD643,573.0492
AD644,127.11843
AD645,716.8309
AD646,883.58966
AD647,156.9654
AD648,579.2949
AD649,261.1847
AD650,416.6162
AD651,1165.554
AD652,640.77466
AD653,391.1085
AD654,516.68536
AD655,335.505
AD656,777.4429
AD657,866.78174
AD658,239.1394
AD659,1420.7
AD660,267.55624
AD661,1342.1901
AD662,267.1055
AD663,176.17285
AD664,362.689
AD665,192.87537
AD666,392.31207
AD667,193.32568
AD668,345.23596
AD669,301.42902
AD670,1465.919
AD671,655.99084
AD672,630.147
AD673,990.7903
AD674,449.59488
AD675,275.63535
AD676,1032.3326
AD677,462.7368
AD678,654.8437
AD679,68.353386
AD680,959.75665
AD681,1724.1494
AD682,657.0923
AD683,908.0261
AD684,336.76312
AD685,1677.1294
AD686,1313.101
AD687,419.0393
AD688,1709.0457
AD689,412.70514
AD690,420.20367
AD691,1084.4482
AD692,370.2296
AD693,61.821293
AD694,61.884487
AD695,726.068
AD696,857.93695
AD697,296.1131
AD698,891.6154
AD699,798.9158
AD700,149.78545
AD701,980.58124
AD702,1023.0833
AD703,554.68884
AD704,405.68814
AD705,185.35713
AD706,179.35641
AD707,873.979
AD708,728.4715
AD709,485.7129
AD710,62.15416
AD711,485.5432
AD712,511.09943
AD713,177.09918
AD714,62.43357
AD715,206.80869
AD716,552.4675
AD717,192.14851
AD718,485.2688
AD719,1062.6097
AD720,62.2771
AD721,297.57297
AD722,786.5338
AD723,230.31557
AD724,592.29974
AD725,465.04742
AD726,517.05255
AD727,1350.7527
AD728,903.62476
AD729,822.4668
AD730,951.9016
AD731,447.90833
AD732,196.88159
AD733,615.84344
AD734,434.09457
AD735,339.10132
AD736,622.71515
AD737,1306.049
AD738,391.7696
AD739,852.9971
AD740,489.97354
AD741,176.94196
AD742,904.91974
AD743,481.94397
AD744,1349.4507
AD745,86.6593
AD746,122.466576
AD747,1270.8536
AD748,940.60614
AD749,677.8781
AD750,365.84216
AD751,1163.3865
AD752,171.54782
AD753,62.079014
AD754,854.27075
AD755,392.26648
AD756,384.23462
AD757,843.78864
AD758,756.47406
AD759,725.6072
AD760,70.43826
AD761,1196.5481
AD762,699.002
AD763,567.52734
AD764,213.20488
AD765,62.116684
AD766,438.10208
AD767,296.72418
AD768,179.49991
AD769,62.8481
AD770,206.63525
AD771,62.41548
AD772,272.21997
AD773,273.56158
AD774,470.09393
AD775,241.73006
AD776,932.875
AD777,624.76044
AD778,631.5813
AD779,691.4798
AD780,791.08984
AD781,489.8881
AD782,544.7216
AD783,528.0827
AD784,521.64624
AD785,63.004307
AD786,358.11084
AD787,348.71844
AD788,334.83447
AD789,819.85345
AD790,230.99103
AD791,1023.5228
AD792,1090.6917
AD793,1802.7542
AD794,448.31027
AD795,1066.986
AD796,755.7305
AD797,1269.5209
AD798,179.00516
AD799,236.34605
AD800,1435.0281
AD801,1302.5798
AD802,310.9145
AD803,734.06805
AD804,174.84566
AD805,922.7288
AD806,146.19449
AD807,1102.7174
AD808,316.76947
AD809,417.24982
AD810,327.8294
AD811,184.87643
AD812,820.8671
AD813,528.99774
AD814,1230.3438
AD815,293.98703
AD816,1265.9987
AD817,63.010822
AD818,534.2343
AD819,63.165474
AD820,1121.5726
AD821,422.1518
AD822,894.2459
AD823,887.9585
AD824,1037.3809
AD825,308.87497
AD826,337.24408
AD827,615.1769
AD828,306.29584
AD829,546.17596
AD830,253.3613
AD831,62.9757
AD832,147.70354
AD833,353.3902
AD834,238.97311
AD835,725.22327
AD836,193.617
AD837,690.86395
AD838,694.46515
AD839,1609.4585
AD840,367.14822
AD841,419.07138
AD842,253.56247
AD843,685.4947
AD844,921.34515
AD845,587.2309
AD846,555.4249
AD847,505.22095
AD848,350.38278
AD849,1091.8291
AD850,178.84897
AD851,626.3784
AD852,180.76869
AD853,518.5443
AD854,1007.0398
AD855,212.74359
AD856,1269.5256
AD857,317.81006
AD858,235.95654
AD859,781.49524
AD860,1640.2056
AD861,365.12134
AD862,499.42432
AD863,1297.0642
AD864,125.88964
AD865,655.99725
AD866,1000.03625
AD867,201.2097
AD868,236.61986
AD869,840.82495
AD870,1363.701
AD871,566.74536
AD872,457.36606
AD873,188.33029
AD874,593.90204
AD875,174.02826
AD876,116.63712
